Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764868578.477385,-1,-2,-3,-3,0,-1,-2,7,REST
1764868578.4864159,-2,-3,-2,-2,2,0,0,4,REST
1764868578.500712,-4,-2,-6,4,1,-2,0,4,REST
1764868578.5074773,-1,-3,-1,1,2,-4,-2,-3,REST
1764868578.5238266,0,2,1,2,-2,-3,-2,-1,REST
1764868578.5373988,-4,-1,-2,0,0,-2,-3,-1,REST
1764868578.5463698,-3,-6,1,-2,3,2,-5,-3,REST
1764868578.5606132,-2,-5,-1,-5,-2,-5,-1,-1,REST
1764868578.5673563,1,5,3,2,-2,2,1,0,REST
1764868578.583739,-1,0,4,-2,-3,-2,2,-3,REST
1764868578.5975144,-1,3,0,0,-3,1,-1,-1,REST
1764868578.6064804,-3,-5,-5,-3,-9,0,-2,1,REST
1764868578.6205986,-1,-1,-7,-4,0,3,3,3,REST
1764868578.6273885,-3,-4,1,-2,-2,-5,-2,1,REST
1764868578.643783,1,-3,-1,-2,-8,-4,-2,-5,REST
1764868578.65749,-2,-3,1,0,4,1,2,2,REST
1764868578.6664064,2,1,5,-2,-4,1,-3,1,REST
1764868578.6805558,-1,-4,-5,1,-3,-1,-3,0,REST
1764868578.6874557,-1,0,0,-7,-8,-1,2,2,REST
1764868578.7031333,-4,1,-2,2,-1,0,-1,-2,REST
1764868578.7098827,-2,3,-2,0,3,-1,-2,-5,REST
1764868578.7262313,-2,1,1,0,3,-2,-2,-1,REST
1764868578.7406702,1,0,1,-6,-5,1,-1,-2,REST
1764868578.7473934,1,-4,1,4,2,-4,-2,0,REST
1764868578.763077,3,-1,-2,-3,2,-3,-1,3,REST
1764868578.7700005,1,1,-1,2,3,4,3,-2,REST
1764868578.78636,2,0,-1,-1,-7,2,-2,2,REST
1764868578.8006067,3,2,1,5,-4,1,0,1,REST
1764868578.8074841,-2,0,-3,-2,1,-6,-6,-3,REST
1764868578.8230715,4,0,2,7,4,0,2,-2,REST
1764868578.8297937,0,2,-1,-4,-2,-5,-3,-2,REST
1764868578.8465345,-3,-4,-5,-3,-3,-2,-1,-2,REST
1764868578.8605492,-4,2,0,-2,1,-3,3,-1,REST
1764868578.8674514,0,3,-3,0,1,1,3,-2,REST
1764868578.8831654,-2,-3,-2,-4,-2,-4,-1,-3,REST
1764868578.8898597,-5,0,-4,-1,1,0,4,2,REST
1764868578.9062855,-2,4,-1,3,0,1,-1,-3,REST
1764868578.920618,0,0,5,-1,2,-4,-1,4,REST
1764868578.9273953,-2,-1,-1,1,1,-3,-3,0,REST
1764868578.9431987,3,0,-1,-5,-4,-2,2,-3,REST
1764868578.949976,1,-5,3,2,7,2,2,2,REST
1764868578.9663773,-1,-3,-5,-2,0,1,-1,-3,REST
1764868578.980557,-3,0,-4,-1,-1,2,-3,0,REST
1764868578.9873066,1,-1,-1,1,-3,1,-3,0,REST
1764868579.0030546,-1,0,0,-1,-5,-2,2,-4,REST
1764868579.0098634,-1,-3,0,-4,-11,-4,-6,-1,REST
1764868579.0262997,-2,2,-2,-3,-3,-4,-2,-1,REST
1764868579.0407138,2,-5,-3,-2,2,1,4,-3,REST
1764868579.0474548,-1,0,-2,-1,3,-1,1,2,REST
1764868579.0632093,4,1,1,2,-1,-3,-1,-2,REST
1764868579.069981,1,1,-2,3,4,0,2,-5,REST
1764868579.0863492,-5,1,1,3,3,-3,-3,-1,REST
1764868579.1010509,3,-5,-1,-1,-7,-6,1,-3,REST
1764868579.1073682,3,-7,0,-5,-2,-5,-3,-4,REST
1764868579.1230576,0,2,6,-5,2,2,3,3,REST
1764868579.1300201,-2,-1,-2,0,3,3,-2,-5,REST
1764868579.1463206,4,-2,-7,-4,1,1,-3,-2,REST
1764868579.1607049,-5,2,-3,6,5,-3,-7,0,REST
1764868579.1674929,-2,3,0,3,3,0,0,-2,REST
1764868579.183105,1,-3,-1,2,0,-1,0,1,REST
1764868579.1899276,-4,-1,-5,-2,3,-5,-5,-3,REST
1764868579.2063909,-1,-1,2,1,8,2,-3,-1,REST
1764868579.219949,-1,-2,-2,-4,-2,-1,1,0,REST
1764868579.229006,0,0,2,0,5,-1,1,6,REST
1764868579.2429807,-5,0,4,-4,-6,0,0,-1,REST
1764868579.2498713,0,0,2,-1,-3,0,3,2,REST
1764868579.2663195,-4,-5,-1,-3,-2,-1,0,0,REST
1764868579.279996,-2,-2,0,-6,-10,-3,-2,-5,REST
1764868579.2889082,-3,2,0,0,0,0,1,-2,REST
1764868579.303261,8,-2,1,-2,5,-1,-2,4,REST
1764868579.310021,-2,-3,-2,-5,0,-3,-3,3,REST
1764868579.3264446,2,-1,1,2,-1,-2,1,-1,REST
1764868579.3399527,-1,-1,1,-2,-3,2,0,-4,REST
1764868579.348963,1,0,-3,5,15,2,-1,-2,REST
1764868579.363108,-1,-1,-7,-5,1,-2,1,-1,REST
1764868579.3700168,3,2,-1,2,2,-1,1,1,REST
1764868579.3862262,-5,-1,-5,-1,-3,-1,-6,0,REST
1764868579.3999915,4,3,-3,-2,1,1,0,1,REST
1764868579.4239063,-3,-5,-2,-2,-5,0,-2,-3,REST
1764868579.4300747,-1,5,-3,-2,-4,-1,-2,-1,REST
1764868579.4461825,-6,0,3,5,2,-4,0,0,REST
1764868579.4598775,2,-1,2,0,-5,-4,-1,-1,REST
1764868579.468813,-1,-6,1,0,-3,2,-1,-2,REST
1764868579.4837637,-3,-5,-2,2,-1,0,-1,-1,REST
1764868579.489878,1,-4,4,-1,-6,-3,-1,3,REST
1764868579.5063243,-2,-1,-2,-4,-6,2,-4,7,REST
1764868579.5198884,-1,4,0,0,-1,-3,2,0,REST
1764868579.5349133,-1,-3,1,0,5,3,1,4,REST
1764868579.5430582,-5,-1,-6,-6,-3,-2,-3,-6,REST
